City,Country,Temperature,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
San Quintín,MX,69.06,85,3,8.3,30.4833,-115.95
City of Saint Peters,US,74.39,70,1,3.0,38.8003,-90.6265
Tsimmerbude,RU,68.05,89,50,6.91,54.675,20.1347
Usogorsk,RU,63.28,54,0,3.02,63.4106,48.6872
Touros,BR,74.3,90,10,11.12,-5.1989,-35.4608
Camopi,GF,70.32,99,85,2.21,3.1655,-52.3158
Dniprorudne,UA,70.43,69,0,7.96,47.3817,34.9765
Mehamn,NO,50.88,83,46,15.97,71.0357,27.8492
Leningradskiy,RU,60.58,60,100,10.51,69.3833,178.4167
Kundiawa,PG,79.77,39,100,5.06,-6.0167,144.9667
Mahébourg,MU,70.09,83,40,9.22,-20.4081,57.7
Jacareacanga,BR,76.96,65,44,2.04,-6.2222,-57.7528
Conceição da Barra,BR,69.35,84,0,6.2,-18.5933,-39.7322
Koygorodok,RU,64.45,86,58,4.03,60.445,50.9968
Kununurra,AU,82.38,20,86,10.36,-15.7667,128.7333
Gambēla,ET,68.52,96,96,1.19,8.25,34.5833
Yangi Marg`ilon,UZ,77.72,53,94,6.91,40.4272,71.7189
Ipixuna,BR,78.75,97,17,3.38,-1.7625,-48.8043
Yulara,AU,62.44,45,0,10.36,-25.2406,130.9889
Bethel,US,73.4,97,100,1.43,41.3712,-73.414
Cayenne,GF,81.09,82,0,1.01,4.9333,-52.3333
Gobabis,NA,45.59,59,0,10.29,-22.45,18.9667
Coyhaique,CL,39.15,75,0,5.75,-45.5752,-72.0662
Leer,SS,70.99,94,100,4.32,8.3018,30.1418
Sangar,RU,69.57,36,10,7.78,63.9242,127.4739
Laguna,US,92.03,28,1,1.01,38.421,-121.4238
Marsh Harbour,BS,82.24,70,8,10.02,26.5412,-77.0636
Havelock,US,80.15,86,13,5.01,34.8791,-76.9013
Methóni,GR,71.46,81,4,12.88,36.8197,21.7049
Ivanovka,KG,72.03,29,0,0.72,42.8878,75.085
Harper,LR,75.87,80,99,8.61,4.375,-7.7169
Linkou,CN,85.48,68,29,3.78,45.3,130.2833
Kiunga,PG,83.48,71,100,4.32,-6.1219,141.2906
Sitka,US,60.69,77,75,3.44,57.0531,-135.33
Piaçabuçu,BR,73.24,89,13,3.76,-10.4056,-36.4344
Aix-les-Bains,FR,66.31,82,90,1.99,45.6834,5.9224
Guymon,US,80.58,61,20,8.05,36.6828,-101.4816
Katima Mulilo,NA,48.74,81,3,4.9,-17.5,24.2667
Nishihara,JP,87.51,74,75,12.66,26.1842,127.7558
Avarua,CK,78.85,69,0,10.36,-21.2078,-159.775
San Patricio,US,82.74,80,5,8.81,28.017,-97.5169
Kruisfontein,ZA,48.25,70,0,6.51,-34.0033,24.7314
Gornji Milanovac,RS,64.4,99,99,0.25,44.0333,20.45
Nome,US,51.87,83,90,13.8,64.5011,-165.4064
Boppard,DE,60.55,99,12,3.31,50.2308,7.5899
Saint-Philippe,RE,67.39,82,35,9.51,-21.3585,55.7679
Buguruslan,RU,70.59,60,4,4.76,53.6554,52.442
Chokurdakh,RU,44.47,64,100,19.37,70.6333,147.9167
Coquimbo,CL,51.53,87,75,0.0,-29.9533,-71.3436
Neyshabur,IR,77.9,21,11,4.0,36.2133,58.7958
Tiksi,RU,44.47,64,97,6.22,71.6872,128.8694
Kedgwick,CA,58.59,75,100,1.99,47.6446,-67.3434
Vanimo,PG,83.46,75,94,3.83,-2.6741,141.3028
Kulhudhuffushi,MV,81.73,79,100,14.56,6.6221,73.07
Santa Isabel Rio Negro,BR,71.92,99,65,1.92,-0.4139,-65.0192
Gewanē,ET,79.72,52,99,9.48,10.1664,40.6453
Kenai,US,67.77,66,1,6.91,60.5544,-151.2583
Honiara,SB,85.39,78,99,9.89,-9.4333,159.95
Walvis Bay,NA,75.09,30,4,11.59,-22.9575,14.5053
Grand Gaube,MU,70.2,75,45,23.47,-20.0064,57.6608
Bandarbeyla,SO,79.63,62,96,29.77,9.4942,50.8122
Verkhnyaya Inta,RU,58.17,79,61,12.39,65.9811,60.3094
Camocim,BR,76.06,88,26,8.86,-2.9022,-40.8411
Luoyang,CN,79.84,76,100,12.08,34.6836,112.4536
Sur,OM,83.73,70,4,18.12,22.5667,59.5289
Klaksvík,FO,50.92,84,10,5.68,62.2266,-6.589
Byron Bay,AU,65.12,36,0,5.88,-28.65,153.6167
Egvekinot,RU,49.05,82,59,10.89,66.3167,-179.1667
Lerwick,GB,53.6,84,68,14.25,60.1545,-1.1494
Nizhneangarsk,RU,60.42,88,100,2.21,55.7833,109.55
Calahorra,ES,65.53,70,0,10.2,42.3051,-1.9652
Ixtapa,MX,78.03,89,90,5.75,20.7,-105.2
Avera,US,79.0,67,98,6.44,33.194,-82.5271
Shizunai-furukawachō,JP,75.06,80,40,8.57,42.3339,142.3669
Zima,RU,65.66,68,100,7.11,53.9202,102.0442
Lorengau,PG,82.51,76,100,3.44,-2.0226,147.2712
Loanhead,GB,57.49,86,0,4.0,55.8795,-3.1587
Rongcheng,CN,73.45,95,100,6.06,30.634,117.8517
Tiznit Province,MA,84.96,31,45,0.49,29.5833,-9.5
Port Hawkesbury,CA,62.33,89,90,0.0,45.6169,-61.3485
Port Lincoln,AU,57.74,52,100,6.6,-34.7333,135.8667
Delta del Tigre,UY,48.31,69,61,24.11,-34.7633,-56.3853
Okhotsk,RU,67.55,74,16,7.61,59.3833,143.3
Pyaozerskiy,RU,59.09,74,28,6.6,65.8333,31.1667
Bānsgāon,IN,78.93,91,100,8.93,26.5586,83.3481
Kottagūdem,IN,83.98,78,95,4.59,17.55,80.6333
São Filipe,CV,73.4,87,99,5.64,14.8961,-24.4956
Benguela,AO,67.69,85,1,3.13,-12.5763,13.4055
Muisne,EC,75.09,85,100,7.76,0.6,-80.0333
Margate,GB,58.03,88,0,1.97,51.3813,1.3862
Rio Grande,BR,44.94,69,0,16.06,-32.035,-52.0986
Wałcz,PL,60.12,91,39,8.25,53.2779,16.4712
Bhainsdehi,IN,83.44,61,96,3.76,21.6467,77.6325
Pangai,TO,77.34,85,0,17.09,-19.8,-174.35
La Ronge,CA,57.45,67,90,13.8,55.1001,-105.2842
Hasaki,JP,88.95,75,100,13.18,35.7333,140.8333
Hofn,IS,54.52,68,42,3.98,64.2539,-15.2082
Faya,SA,70.32,29,100,8.68,18.3851,42.4509
Ponta do Sol,PT,74.71,56,1,3.53,32.6667,-17.1
Angoram,PG,85.37,67,100,2.19,-4.0625,144.0661
Vitória do Mearim,BR,73.72,96,10,3.87,-3.4622,-44.8706
Aklavik,CA,83.23,33,72,10.18,68.2191,-135.0107
Lichinga,MZ,50.09,100,75,14.97,-13.3128,35.2406
Kloulklubed,PW,82.9,79,100,5.08,7.0419,134.2556
Bambanglipuro,ID,82.63,67,20,11.77,-7.95,110.2833
Korla,CN,81.57,27,100,19.22,41.7597,86.1469
Numan,NG,74.28,85,100,7.29,9.4667,12.0333
Isangel,VU,86.11,70,40,9.22,-19.55,169.2667
Pochutla,MX,82.22,90,88,4.14,15.7432,-96.4661
Koumac,NC,77.97,63,10,7.05,-20.5667,164.2833
Port Hardy,CA,64.58,63,75,9.22,50.6996,-127.4199
Dingle,PH,86.61,71,80,14.94,10.9995,122.6711
Loíza,PR,80.04,83,40,13.8,18.4313,-65.8802
Sibolga,ID,84.02,55,96,2.62,1.7427,98.7792
Kendari,ID,83.64,67,100,2.37,-3.945,122.4989
Port-Gentil,GA,74.97,72,100,4.12,-0.7193,8.7815
Ust-Kuyga,RU,52.05,46,90,2.33,70.0167,135.6
Santa Cruz del Sur,CU,77.7,87,17,13.33,20.7147,-77.9956
George Town,MY,85.59,80,20,1.01,5.4112,100.3354
Cabedelo,BR,72.27,87,38,11.63,-6.9811,-34.8339
Jalu,LY,74.91,75,0,13.2,29.0331,21.5482
Constitución,CL,44.69,73,0,7.61,-35.3333,-72.4167
Kota Tinggi,MY,86.18,63,77,5.41,1.7381,103.8999
Calama,CL,45.09,21,18,17.27,-22.4667,-68.9333
Kralendijk,BQ,80.58,83,2,12.66,12.15,-68.2667
Morón,AR,46.06,61,6,7.0,-34.6534,-58.6198
Patos de Minas,BR,64.94,45,13,0.72,-18.5789,-46.5181
Salym,RU,59.07,79,34,1.12,60.0625,71.4789
Meulaboh,ID,81.91,65,56,2.82,4.1363,96.1285
Kantunilkín,MX,80.44,98,90,1.72,21.0917,-87.45
Porto União,BR,45.0,99,5,2.66,-26.2381,-51.0783
Airai,TL,74.32,38,92,3.78,-8.9266,125.4092
Tricase,IT,71.15,80,30,9.78,39.9304,18.3553
Yucca Valley,US,88.0,40,16,5.01,34.1142,-116.4322
Payo,ID,84.92,61,92,1.63,-3.7508,103.6372
Kimbe,PG,90.3,55,98,3.47,-5.5502,150.1429
Taoudenni,ML,98.26,9,0,7.72,22.6783,-3.9836
Vyaz'ma,RU,68.85,83,94,2.3,55.2104,34.2951
San Andrés,CO,82.42,83,75,14.97,12.5847,-81.7006
Oktyabr'skiy,RU,70.41,61,90,2.26,54.4815,53.471
Tsiroanomandidy,MG,60.08,68,90,2.06,-18.7667,46.0333
Mahibadhoo,MV,83.17,74,18,12.12,3.7833,72.9667
Yuci,CN,73.15,83,40,2.24,37.6803,112.7319
Indianapolis,US,71.62,87,75,3.44,39.7684,-86.158
Faanui,PF,78.37,78,100,23.2,-16.4833,-151.75
Saldanha,ZA,46.45,68,0,6.46,-33.0117,17.9442
Zalesovo,RU,63.16,69,100,6.98,53.9939,84.7431
Arrondissement de Moulins,FR,59.74,100,48,3.69,46.5,3.3333
Antibes,FR,71.82,60,0,10.36,43.5624,7.1278
Honningsvåg,NO,49.8,84,100,19.33,70.9821,25.9704
Uvinza,TZ,62.51,50,47,4.14,-5.1036,30.3911
Ostrovnoy,RU,60.15,72,86,12.03,68.0531,39.5131
Quelimane,MZ,64.35,94,75,9.22,-17.8786,36.8883
Luanda,AO,69.8,94,75,2.3,-8.8368,13.2343
Laas,IT,61.63,96,98,6.55,46.6166,10.7002
Norman Wells,CA,78.84,21,20,8.05,65.282,-126.8329
Bubaque,GW,80.58,78,92,10.74,11.2833,-15.8333
Dul'durga,RU,63.12,94,100,7.07,50.6761,113.5931
Longyearbyen,SJ,46.24,76,90,6.91,78.2186,15.6401
Sinjai,ID,83.08,72,100,4.38,-5.1241,120.253
Buala,SB,84.43,75,100,8.59,-8.145,159.5921
Melfort,CA,69.93,73,5,13.8,52.8667,-104.6177
Boueni,YT,76.98,69,1,16.82,-12.9025,45.0761
Ponta Delgada,PT,63.32,82,20,3.44,37.7333,-25.6667
Rāmgarh,IN,84.25,73,100,4.09,23.6333,85.5167
Vardø,NO,52.21,81,100,2.95,70.3705,31.1107
Khovu-Aksy,RU,63.81,59,98,4.74,51.1333,93.6
Quryq,KZ,84.51,29,0,1.81,43.2,51.65
Richards Bay,ZA,54.61,53,0,6.71,-28.783,32.0377
Ayorou,NE,85.35,57,42,14.36,14.7308,0.9174
Kudahuvadhoo,MV,82.81,75,31,9.82,2.6708,72.8944
Ancud,CL,35.13,90,95,4.07,-41.8697,-73.8203
Devarkonda,IN,81.86,75,100,13.09,16.7,78.9333
North Bend,US,61.12,79,20,12.66,43.4065,-124.2243
Grindavik,IS,46.74,100,90,3.44,63.8424,-22.4338
Inhambane,MZ,63.45,79,43,10.71,-23.865,35.3833
Clyde River,CA,39.43,75,90,9.22,70.4692,-68.5914
San Cristobal,VE,75.38,95,37,3.36,7.7669,-72.225
Farnes,NO,49.48,88,95,5.66,61.3167,7.8
Enumclaw,US,69.98,58,1,1.01,47.2043,-121.9915
Hamilton,US,72.86,88,90,4.61,39.1834,-84.5333
Bay Roberts,CA,60.84,91,100,1.01,47.5999,-53.2648
Tearce,MK,64.51,93,52,2.86,42.0744,21.0525
Coahuayana Viejo,MX,78.17,85,100,3.33,18.7333,-103.6833
Iqaluit,CA,49.69,76,75,17.0,63.7506,-68.5145
Ust-Tsilma,RU,60.94,57,12,3.53,65.441,52.1498
Kidal,ML,89.46,40,5,9.82,18.4411,1.4078
Raipur,IN,82.54,89,75,10.36,21.2333,81.6333
Baoding,CN,77.18,88,100,7.81,38.8511,115.4903
Aktas,KZ,62.35,44,99,8.57,49.7789,72.9608
Talcahuano,CL,44.28,70,0,8.05,-36.7167,-73.1167
Ambilobe,MG,62.35,87,10,3.51,-13.2,49.05
Marabu,MY,86.14,74,20,6.91,4.4148,114.0089
Halifax,CA,68.54,92,100,1.14,44.6453,-63.5724
Cockburn Town,TC,81.48,78,44,21.65,21.4612,-71.1419
Kiryat Gat,IL,73.11,77,0,1.86,31.61,34.7642
Pemangkat,ID,83.71,73,91,7.29,1.1667,108.9667
Iquique,CL,57.24,79,66,2.19,-20.2208,-70.1431
Tezu,IN,76.86,99,100,0.45,27.9167,96.1667
Vestmannaeyjar,IS,50.86,82,91,13.11,63.4427,-20.2734
Lompoc,US,63.84,84,1,13.8,34.6391,-120.4579
Mossamedes,AO,65.88,88,0,4.03,-15.1961,12.1522
Iwanai,JP,83.43,59,0,10.0,42.9744,140.5089
Nemuro,JP,88.23,81,84,7.43,43.3236,145.575
Adamovka,RU,70.57,67,0,3.53,51.5223,59.9396
Zhanjiang,CN,86.9,65,100,3.78,21.2815,110.3427
Östersund,SE,50.45,81,75,14.97,63.1792,14.6357
Los Andes,CL,49.01,16,0,6.49,-32.8337,-70.5983
Hong Kong,HK,80.58,91,100,1.99,22.2855,114.1577
Karratha,AU,76.71,21,3,13.56,-20.7377,116.8463
Teluk Nibung,ID,84.2,67,89,1.45,3.001,99.8164
Zhigansk,RU,58.98,40,3,12.91,66.7697,123.3711
Alofi,NU,78.69,78,5,14.97,-19.0595,-169.9187
Naantali,FI,68.11,88,0,6.91,60.4674,22.0243
Bereda,ES,61.41,100,0,0.72,43.2686,-7.5406
Narsaq,GL,50.22,89,100,2.91,60.9167,-46.05
Eyl,SO,77.76,65,20,23.76,7.9803,49.8164
Price,US,90.27,17,1,10.36,39.5994,-110.8107
Aljezur,PT,63.23,95,30,9.51,37.3191,-8.8033
Port Moresby,PG,87.22,66,40,17.27,-9.4431,147.1797
Gijang,KR,85.73,86,100,7.36,35.2442,129.2139
Te Anau,NZ,47.46,87,97,3.27,-45.4167,167.7167
Islamkot,PK,86.56,72,84,18.63,24.6997,70.177
Tilichiki,RU,55.42,72,100,7.67,60.4667,166.1
Saint Paul Harbor,US,63.7,71,17,3.44,57.79,-152.4072
Tumpat,MY,86.11,79,20,2.3,6.1978,102.171
Kaitangata,NZ,46.38,92,100,3.8,-46.2817,169.8464
Lukovetskiy,RU,58.98,65,99,6.33,64.2956,41.9211
Berdigestyakh,RU,77.97,44,6,5.28,62.0989,126.6992
Chui,UY,43.29,71,2,13.42,-33.6971,-53.4616
Rovaniemi,FI,58.41,77,0,4.61,66.5,25.7167
Oga,IT,52.48,96,92,6.82,46.4631,10.347
Salalah,OM,77.09,88,90,5.75,17.0151,54.0924
Kutum,SD,73.67,68,74,11.83,14.2,24.6667
Kodinsk,RU,67.01,55,38,12.08,58.6881,99.1844
Ahipara,NZ,59.09,89,80,19.66,-35.1667,173.1667
Arrondissement de Tarbes,FR,61.05,94,0,3.44,43.25,0.1667
Nalhāti,IN,82.09,77,100,2.51,24.3,87.8167
Jumla,NP,70.45,82,92,2.73,29.2747,82.1838
Acapulco de Juárez,MX,84.02,79,90,5.75,16.8634,-99.8901
Yarkovo,RU,64.29,61,22,2.82,57.4028,67.0786
Khovd,MN,70.7,29,54,4.14,48.0056,91.6419
Split,HR,74.93,53,0,8.05,43.5089,16.4392
Shumyachi,RU,68.5,80,94,3.76,53.8583,32.4242
Henties Bay,NA,74.86,35,32,15.1,-22.116,14.2845
Nabire,ID,74.46,97,100,2.28,-3.3667,135.4833
Storforshei,NO,49.66,91,100,2.51,66.4043,14.5233
Ozernovskiy,RU,57.06,99,100,9.78,51.5,156.5167
Wau,SS,69.71,97,100,4.09,7.7029,27.9953
Aden,YE,85.05,79,97,9.51,12.7794,45.0367
Le Pont-de-Claix,FR,66.38,93,91,2.91,45.1244,5.7064
Knysna,ZA,44.98,46,0,5.57,-34.0363,23.0471
Flinders,AU,64.76,51,2,8.99,-34.5833,150.8552
Mount Gambier,AU,57.11,77,100,6.91,-37.8333,140.7667
Santiago del Estero,AR,45.81,29,67,7.47,-27.7951,-64.2615
Sakskøbing,DK,63.09,86,0,15.32,54.7997,11.626
Shalinskoye,RU,65.82,59,79,7.2,55.7228,93.7594
Bell Ville,AR,38.66,37,0,11.32,-32.6259,-62.6887
Khilok,RU,79.07,48,22,3.47,51.3674,110.4676
Uvel'skiy,RU,66.78,66,5,5.57,54.4446,61.3574
Rome,US,67.84,93,75,4.61,43.2128,-75.4557
Ucluelet,CA,61.11,83,96,6.17,48.9329,-125.5528
Carballo,ES,65.16,56,0,2.95,43.213,-8.691
Lundazi,ZM,53.06,79,2,8.81,-12.2929,33.1782
Half Moon Bay,US,65.23,79,1,13.8,37.4636,-122.4286
Jambi City,ID,85.66,59,19,4.52,-1.6,103.6167
Srīmushnam,IN,80.92,76,100,3.8,11.4,79.4167
Qaqortoq,GL,50.5,91,100,4.03,60.7167,-46.0333
Beringovskiy,RU,58.03,70,100,9.82,63.05,179.3167
Road Town,VG,81.63,79,9,22.55,18.4167,-64.6167
Vanavara,RU,64.13,71,90,14.63,60.34,102.2797
Antón Lizardo,MX,83.21,81,0,6.71,19.05,-95.9833
Ternate,ID,81.52,76,96,7.02,0.8,127.4
Port Blair,IN,82.2,80,100,16.35,11.6667,92.75
Adrar,MR,89.76,26,5,9.51,20.5022,-10.0711
Kallithea,GR,78.12,65,0,1.99,37.95,23.7
Călineşti,RO,69.35,60,0,7.25,44.8167,25.05
Havre-St-Pierre,CA,55.76,94,20,5.75,50.2334,-63.5986
Camacha,PT,65.62,83,20,8.05,33.0833,-16.3333
Vao,NC,72.81,79,3,12.91,-22.6667,167.4833
Tecpan,GT,55.98,96,81,4.79,14.7623,-90.9947
Mezen',RU,59.79,64,61,4.59,65.8522,44.24
Pangnirtung,CA,56.82,64,65,0.13,66.1451,-65.7125
Strezhevoy,RU,58.98,70,77,5.97,60.7333,77.5889
Sharjah city,AE,89.74,60,0,11.5,25.3573,55.4033
Golovchino,RU,70.7,76,3,4.79,50.5341,35.797
