City,Country,Temperature,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
Khatanga,RU,53.11,53.11,94,100,1.66,71.9667,102.5
Albany,US,69.62,75.45,77,65,1.01,42.6001,-73.9662
Busselton,AU,49.05,49.05,75,66,6.87,-33.65,115.3333
Santa Rosa,PH,76.73,80.91,94,100,14.43,14.3122,121.1114
Hambantota,LK,80.11,80.11,78,100,19.8,6.1241,81.1185
Port Alfred,ZA,49.69,49.69,75,96,30.91,-33.5906,26.891
Pontian Kecil,MY,81.81,82.49,86,81,7.34,1.4801,103.3899
Atar,MR,93.94,93.94,10,4,8.75,20.5169,-13.0499
Lompoc,US,72.95,90.79,70,1,11.5,34.6391,-120.4579
Tiksi,RU,39.45,39.45,94,100,4.18,71.6872,128.8694
Punta Arenas,CL,37.51,39.11,87,90,11.5,-53.15,-70.9167
Inírida,CO,78.46,78.46,88,63,2.26,3.8653,-67.9239
Arraial do Cabo,BR,64.26,64.26,82,0,3.44,-22.9661,-42.0278
Ushuaia,AR,37.06,37.06,65,90,6.91,-54.8,-68.3
Tuktoyaktuk,CA,52.2,52.2,75,15,9.98,69.4541,-133.0374
Chui,UY,49.21,49.21,76,2,1.07,-33.6971,-53.4616
Chokwé,MZ,63.77,63.77,28,0,6.4,-24.5333,32.9833
Muhos,FI,60.58,60.58,69,99,12.88,64.808,25.9931
Saint Paul Harbor,US,54.91,54.91,91,92,5.73,57.79,-152.4072
Geraldton,AU,57.61,57.61,94,90,0.0,-28.7667,114.6
Iqaluit,CA,45.7,46.13,87,90,15.99,63.7506,-68.5145
Zhangaözen,KZ,89.31,89.31,26,0,7.96,43.3,52.8
Hithadhoo,MV,81.79,81.79,74,100,10.42,-0.6,73.0833
Yulara,AU,62.44,62.44,34,0,12.66,-25.2406,130.9889
Hilchenbach,DE,57.43,60.48,86,35,2.53,50.9833,8.1
Mahébourg,MU,66.25,66.25,72,88,18.81,-20.4081,57.7
Saskylakh,RU,55.53,55.53,76,100,12.06,71.9167,114.0833
Eslöv,SE,57.96,62.24,90,3,3.58,55.8393,13.3039
Lorengau,PG,82.11,82.11,76,68,3.13,-2.0226,147.2712
Ancud,CL,46.22,51.33,84,100,12.93,-41.8697,-73.8203
Virginia Beach,US,88.27,91.02,61,75,12.66,36.8529,-75.978
Cape Town,ZA,46.04,48.34,76,65,4.0,-33.9258,18.4232
Avarua,CK,78.85,78.85,89,20,9.22,-21.2078,-159.775
Departamento de Maldonado,UY,47.59,47.59,76,38,2.3,-34.6667,-54.9167
Dunedin,NZ,47.8,47.8,71,100,11.01,-45.8742,170.5036
Solnechnyy,RU,78.19,78.19,73,100,1.32,50.7214,136.6319
Olafsvik,IS,53.17,53.17,93,98,12.5,64.8945,-23.7142
Grindavik,IS,52.27,54.55,100,90,12.66,63.8424,-22.4338
Sambava,MG,70.63,70.63,85,46,13.44,-14.2667,50.1667
Isangel,VU,77.4,77.4,80,24,3.49,-19.55,169.2667
Maragheh,IR,80.04,80.04,29,0,2.21,37.3917,46.2398
San Patricio,US,86.54,88.52,41,3,6.93,28.017,-97.5169
Half Moon Bay,US,71.37,91.22,67,20,17.27,37.4636,-122.4286
Husavik,IS,58.15,58.15,71,4,4.14,66.0449,-17.3389
Kapaa,US,79.3,82.38,80,75,3.0,22.0752,-159.319
Pishin,PK,76.1,76.1,39,0,4.45,30.5803,66.9961
Canindé de São Francisco,BR,73.04,73.04,71,33,9.86,-9.66,-37.7894
Bluff,NZ,43.81,43.81,73,94,12.46,-46.6,168.3333
Ponta do Sol,PT,70.84,71.71,81,0,4.36,32.6667,-17.1
Lola,GN,70.25,70.25,97,71,2.89,7.8,-8.5333
Bacolod City,PH,78.4,78.4,85,100,14.43,10.6667,122.95
Vestmannaeyjar,IS,53.78,53.78,91,98,4.47,63.4427,-20.2734
Huarmey,PE,67.89,67.89,74,17,10.58,-10.0681,-78.1522
Sibolga,ID,75.4,75.4,87,99,3.24,1.7427,98.7792
Svetlaya,RU,69.64,69.64,94,79,4.76,46.5389,138.3297
Erdenet,MN,50.68,50.68,95,18,3.02,49.0333,104.0833
Betamcherla,IN,73.8,73.8,79,100,22.75,15.4667,78.1667
Mechanicsville,US,86.7,90.41,57,40,12.66,37.6088,-77.3733
Ribeira Grande,PT,70.2,70.2,73,75,9.22,38.5167,-28.7
Cayenne,GF,83.08,83.08,79,0,4.0,4.9333,-52.3333
Hermanus,ZA,43.81,45.9,69,97,15.3,-34.4187,19.2345
Río Gallegos,AR,40.26,40.26,85,100,13.35,-51.6226,-69.2181
Saint Anthony,US,82.02,85.1,65,20,4.0,45.0205,-93.218
Ormara,PK,83.39,83.39,90,96,15.46,25.2088,64.6357
Tigzirt,DZ,80.15,80.15,44,0,11.74,36.8886,4.1198
Adrar,MR,91.36,91.36,8,32,13.73,20.5022,-10.0711
Birjand,IR,73.71,73.71,22,0,8.75,32.8663,59.2211
Saint George,US,102.34,102.94,24,20,5.01,37.1041,-113.5841
Severodvinsk,RU,50.11,50.11,64,100,7.25,64.5635,39.8302
Kolokani,ML,73.72,73.72,87,88,12.01,13.5728,-8.0339
Jizan,SA,84.18,84.18,69,97,5.39,17.3333,42.6667
Duluth,US,64.92,69.21,74,90,1.01,46.7833,-92.1066
Barrow,US,37.42,37.42,95,90,18.41,71.2906,-156.7887
Puerto Ayora,EC,73.54,73.54,91,97,10.0,-0.7393,-90.3518
Gorontalo,ID,75.42,75.42,93,97,2.04,0.5412,123.0595
Saint-Philippe,RE,69.39,69.39,72,67,15.88,-21.3585,55.7679
Juradó,CO,82.56,82.56,80,100,5.97,7.1053,-77.7641
Severo-Kuril'sk,RU,52.36,52.36,93,29,3.18,50.6789,156.125
Ayagoz,KZ,64.81,64.81,75,58,13.4,47.9714,80.4392
Sergeevka,KZ,66.6,66.6,61,25,8.1,53.88,67.4158
Lebu,CL,52.07,52.07,94,100,4.74,-37.6167,-73.65
Shetpe,KZ,85.28,85.28,33,19,6.53,44.1667,52.1167
Ayan,RU,62.8,62.8,89,99,1.3,56.45,138.1667
Faanui,PF,79.03,79.03,77,40,18.1,-16.4833,-151.75
Constitución,CL,53.44,53.44,88,100,3.69,-35.3333,-72.4167
Nikolskoye,RU,59.59,60.69,74,10,5.57,59.7035,30.7861
Kirakira,SB,80.65,80.65,83,21,8.21,-10.4544,161.9205
Hirado,JP,77.36,77.36,75,100,7.34,33.3597,129.5531
Samarai,PG,77.5,77.5,78,96,15.5,-10.6167,150.6667
Krasnyy Chikoy,RU,60.96,60.96,99,100,2.68,50.3643,108.7512
Kruisfontein,ZA,41.88,41.88,75,80,27.94,-34.0033,24.7314
Fairbanks,US,73.06,74.3,46,1,0.0,64.8378,-147.7164
Chapais,CA,69.94,69.94,35,63,8.95,49.7834,-74.8492
Bolgatanga,GH,83.21,83.21,57,100,8.28,10.7856,-0.8514
Khovd,MN,67.89,67.89,35,63,3.2,48.0056,91.6419
Lagoa,PT,67.3,67.3,72,92,17.47,39.05,-27.9833
Bengkulu,ID,74.01,74.01,87,38,4.27,-3.8004,102.2655
Prince George,CA,66.25,66.25,51,65,3.0,53.9166,-122.753
Bechem,GH,70.36,70.36,96,40,2.64,7.0903,-2.025
Talnakh,RU,55.45,55.45,59,100,6.62,69.4865,88.3972
Bredasdorp,ZA,43.29,43.29,77,99,12.59,-34.5322,20.0403
Lar,IN,83.23,83.23,81,100,7.29,26.2039,83.9717
Airai,TL,54.16,54.16,75,13,3.06,-8.9266,125.4092
Port Lincoln,AU,48.52,48.52,82,100,19.26,-34.7333,135.8667
Kumul,CN,84.25,84.25,25,100,1.66,42.8,93.45
Babu,CN,75.9,75.9,94,100,2.62,24.4167,111.5167
Hobart,AU,46.56,50.22,83,40,3.0,-42.8794,147.3294
Buluang,PH,79.32,79.32,89,99,17.34,13.3068,123.3425
Vaini,TO,82.56,82.56,69,20,9.22,-21.2,-175.2
Hilo,US,77.81,85.28,83,40,11.5,19.7297,-155.09
George Town,MY,82.87,82.89,86,20,1.01,5.4112,100.3354
Prince Rupert,CA,57.29,57.29,88,90,4.61,54.3161,-130.3201
Carutapera,BR,77.34,77.34,86,66,7.0,-1.195,-46.02
Vrchlabí,CZ,57.58,62.35,85,6,2.75,50.627,15.6094
Vao,NC,70.36,70.36,70,48,12.97,-22.6667,167.4833
Sarany,RU,55.35,55.35,77,85,2.62,58.5,58.8833
Udachny,RU,61.16,61.16,81,82,7.29,66.4167,112.4
Terrace,CA,62.42,62.42,73,100,2.13,54.5163,-128.6035
Varde,DK,58.82,60.96,72,90,5.75,55.6211,8.4807
Aykhal,RU,59.09,59.09,84,50,7.87,66.0,111.5
Santa Cruz de Tenerife,ES,70.29,74.91,82,75,8.99,28.4682,-16.2546
Roebourne,AU,70.84,70.84,68,8,8.9,-20.7833,117.1333
Tambovka,RU,75.31,75.31,87,69,5.79,50.0969,128.0489
Bon Accord,CA,67.24,71.78,88,90,10.36,53.8335,-113.4187
Bulungu,CD,75.6,75.6,32,5,1.1,-4.55,18.6
Tebingtinggi,ID,78.85,78.85,92,95,2.55,3.3285,99.1625
Nabire,ID,74.73,74.73,93,100,3.33,-3.3667,135.4833
Dalton,US,83.82,87.62,70,75,1.01,34.7698,-84.9702
Butaritari,KI,82.85,82.85,75,29,12.57,3.0707,172.7902
Saint-François,FR,65.41,67.68,78,0,0.0,46.4154,3.9054
Bathsheba,BB,83.01,83.01,74,40,18.41,13.2167,-59.5167
Kavieng,PG,82.22,82.22,77,99,7.94,-2.5744,150.7967
Santa Cruz de Barahona,DO,89.42,89.42,55,20,14.97,18.2085,-71.1008
Torbay,CA,52.36,53.76,97,100,4.0,47.6666,-52.7314
Kahului,US,80.6,82.42,76,40,18.41,20.8947,-156.47
Hanzhong,CN,70.14,70.14,95,8,0.85,33.0728,107.0303
Pozhva,RU,61.09,61.09,73,97,1.19,59.0912,56.0847
Saint-Pierre,RE,69.48,69.48,73,0,24.16,-21.3393,55.4781
Cherskiy,RU,59.22,59.22,48,8,1.59,68.75,161.3
George,ZA,40.55,40.55,93,90,19.57,-33.963,22.4617
Leningradskiy,RU,37.63,37.63,77,100,5.03,69.3833,178.4167
New Norfolk,AU,45.84,49.87,82,95,1.99,-42.7826,147.0587
Houma,US,90.19,91.99,63,40,9.22,29.5958,-90.7195
Assiut,EG,91.92,91.92,26,1,11.14,27.181,31.1837
Buritama,BR,68.97,68.97,20,87,5.5,-21.0661,-50.1472
Khor,RU,76.93,76.93,84,30,6.11,47.8861,134.9464
Buala,SB,82.53,82.53,76,36,6.67,-8.145,159.5921
Omboué,GA,72.75,72.75,81,19,8.05,-1.5746,9.2618
Ust-Tsilma,RU,42.46,42.46,96,84,4.76,65.441,52.1498
Richards Bay,ZA,62.02,62.02,78,92,2.35,-28.783,32.0377
Correntina,BR,73.85,73.85,39,11,3.33,-13.3433,-44.6367
Atuona,PF,77.56,77.56,67,68,18.5,-9.8,-139.0333
Marzuq,YE,74.32,74.32,66,31,7.11,14.4,46.4667
Nanortalik,GL,43.39,43.39,99,100,6.6,60.1432,-45.2371
Caravelas,BR,69.1,69.1,71,7,5.5,-17.7125,-39.2481
Yantzaza,EC,70.21,70.21,95,87,1.66,-3.8278,-78.7594
Katsuura,JP,80.73,84.11,79,1,3.74,35.1333,140.3
Evensk,RU,49.77,49.77,93,98,9.17,61.95,159.2333
Narsaq,GL,50.22,50.22,97,100,3.22,60.9167,-46.05
Elizabeth City,US,86.61,91.02,66,1,4.0,36.2946,-76.2511
Vyartsilya,RU,55.38,55.38,54,97,5.59,62.1764,30.693
Dembī Dolo,ET,56.23,56.23,88,100,3.02,8.5333,34.8
Cabo San Lucas,MX,94.41,99.81,63,35,11.21,22.8909,-109.9124
Carnarvon,AU,53.67,53.67,67,7,4.61,-24.8667,113.6333
Pouembout,NC,71.74,71.74,59,20,4.25,-21.1333,164.9
Nouakchott,MR,76.93,76.93,84,11,16.4,18.0858,-15.9785
Paamiut,GL,42.39,42.39,86,53,12.12,61.994,-49.6678
Upernavik,GL,42.96,42.96,81,68,4.16,72.7868,-56.1549
Eenhana,NA,56.01,56.01,27,0,7.67,-17.4667,16.3333
Vostok,RU,72.95,72.95,85,8,0.83,46.4856,135.8833
Bethel,US,76.69,80.69,71,20,5.75,41.3712,-73.414
Clyde River,CA,38.77,38.77,79,95,1.68,70.4692,-68.5914
Kholodnyy,RU,60.01,60.01,94,100,3.02,62.7167,147.95
Springbok,ZA,39.52,39.52,84,43,5.28,-29.6643,17.8865
Shimoda,JP,83.1,83.1,77,0,3.06,34.6667,138.95
Benguela,AO,68.7,68.7,88,12,0.83,-12.5763,13.4055
Bazarnye Mataki,RU,66.22,66.22,59,78,4.59,54.8833,49.9333
Karratha,AU,70.5,70.5,68,7,9.42,-20.7377,116.8463
Broome,US,69.67,73.02,66,75,3.0,42.2506,-75.833
Penápolis,BR,67.59,67.59,22,30,5.79,-21.4197,-50.0775
Grand-Santi,GF,78.87,78.87,82,98,2.84,4.25,-54.3833
Harper,LR,76.39,76.39,81,34,6.8,4.375,-7.7169
Morehead,US,85.6,87.31,61,1,4.61,37.2711,-87.1764
Tazovsky,RU,58.35,58.35,93,100,18.32,67.4667,78.7
Malbork,PL,59.63,66.96,89,27,4.23,54.0359,19.0266
Along,IN,75.31,75.31,98,85,1.72,28.1667,94.7667
Kauhajoki,FI,56.07,56.77,87,59,8.1,62.4333,22.1833
Stornoway,GB,55.56,55.92,88,75,5.75,58.2093,-6.3865
Naze,JP,79.72,79.72,91,100,26.73,28.3667,129.4833
São Félix do Xingu,BR,85.96,85.96,33,53,2.04,-6.6447,-51.995
Kindu,CD,76.12,76.12,39,3,2.17,-2.95,25.95
Kaarina,FI,48.56,53.1,84,0,4.61,60.4072,22.369
Tabuk,PH,74.71,74.71,91,82,0.92,17.4189,121.4443
Santa Cruz de la Sierra,BO,74.3,74.3,27,95,4.12,-17.8,-63.1667
Lavrentiya,RU,42.08,42.08,73,100,11.43,65.5833,-171.0
Tasiilaq,GL,42.96,42.96,98,100,7.18,65.6145,-37.6368
Lixouri,GR,75.13,75.13,86,1,8.05,38.2019,20.4314
Laguna,US,94.69,103.1,25,1,4.0,38.421,-121.4238
Belaya Gora,RU,56.44,56.44,64,100,8.81,68.5333,146.4167
Wenling,CN,77.92,77.92,86,71,15.26,28.3669,121.36
Creston,US,84.04,85.28,54,1,3.44,41.0586,-94.3614
Charters Towers,AU,54.19,54.19,36,8,4.18,-20.1,146.2667
Arcata,US,66.07,80.67,69,1,3.0,40.8665,-124.0828
Dikson,RU,49.39,49.39,67,100,17.94,73.5069,80.5464
Crossville,US,81.9,84.92,57,1,4.0,35.949,-85.0269
Yerbogachën,RU,58.73,58.73,75,12,2.89,61.2767,108.0108
Nchelenge,ZM,65.48,65.48,46,1,7.02,-9.3451,28.734
Enterprise,US,96.26,101.16,31,75,8.99,36.0252,-115.2419
Payo,ID,71.2,71.2,89,98,1.57,-3.7508,103.6372
Paranaíba,BR,69.55,69.55,19,2,5.3,-19.6772,-51.1908
Bartica,GY,79.12,79.12,96,84,4.07,6.4,-58.6167
Pervomayskiy,RU,61.12,61.12,97,100,9.66,53.2485,40.2871
Fort Nelson,CA,75.79,75.79,39,42,3.85,58.8053,-122.7002
Burnie,AU,47.91,47.91,88,94,4.41,-41.0667,145.9167
Monteprandone,IT,72.39,73.72,81,13,3.36,42.9201,13.8426
Cabot,US,88.18,90.99,51,40,4.61,34.9745,-92.0165
Santa,PH,77.31,77.31,93,100,9.78,17.486,120.4348
Avera,US,84.16,87.71,69,100,3.89,33.194,-82.5271
Hong Kong,HK,80.92,82.45,92,88,4.0,22.2855,114.1577
Chicama,PE,64.94,64.94,70,13,8.32,-7.8447,-79.1469
Longyearbyen,SJ,40.84,40.84,70,20,9.22,78.2186,15.6401
Santiago de Chuco,PE,60.35,60.35,43,86,7.65,-8.15,-78.1833
Misratah,LY,78.98,78.98,69,0,6.98,32.3754,15.0925
Trofors,NO,50.36,51.15,97,100,9.82,65.5333,13.4063
Chokurdakh,RU,45.55,45.55,70,89,7.11,70.6333,147.9167
Ossora,RU,62.02,62.02,67,100,2.3,59.2353,163.0719
Oyama,JP,81.68,83.66,64,5,2.68,36.3,139.8
Andros,GR,81.86,84.76,57,0,8.99,37.8333,24.9333
Chifeng,CN,72.77,72.77,73,100,4.92,42.2683,118.9636
Fort Smith,US,87.89,91.38,50,1,5.75,35.3859,-94.3986
Margate,GB,64.26,67.03,78,0,1.01,51.3813,1.3862
Bambous Virieux,MU,66.22,66.22,71,87,18.81,-20.3428,57.7575
Gravdal,NO,49.89,49.89,93,75,13.8,68.1214,13.5031
Gilbués,BR,80.62,80.62,32,9,6.53,-9.8317,-45.3439
Ostrovnoy,RU,43.92,43.92,87,79,8.97,68.0531,39.5131
Mehamn,NO,44.02,44.02,88,100,22.06,71.0357,27.8492
Horki,BY,52.21,52.21,83,5,8.39,54.2861,30.9842
Alofi,NU,78.69,78.69,78,75,14.97,-19.0595,-169.9187
Aklavik,CA,84.2,86.72,45,40,6.91,68.2191,-135.0107
Ārvi,IN,77.72,77.72,88,100,8.84,20.9833,78.2333
Coyhaique,CL,49.95,49.95,71,75,3.44,-45.5752,-72.0662
Albanel,CA,75.18,75.18,41,19,8.05,48.8832,-72.4487
Beloha,MG,71.17,71.17,63,67,7.31,-25.1667,45.05
Mnogovershinnyy,RU,74.61,74.61,76,99,8.01,53.9353,139.9242
Morgan City,US,90.75,91.99,65,43,9.44,29.6994,-91.2068
Bonavista,CA,54.12,54.12,90,76,13.98,48.6499,-53.1147
Pevek,RU,41.76,41.76,66,1,5.39,69.7008,170.3133
Altay,CN,70.93,70.93,29,77,7.36,47.8667,88.1167
Yarmouth,US,76.91,80.82,71,40,5.99,41.7057,-70.2286
Caldwell,US,94.3,96.19,23,1,11.5,43.6629,-116.6874
Souillac,MU,68.38,68.38,83,75,12.66,-20.5167,57.5167
Zunyi,CN,69.26,69.26,96,79,2.42,27.6867,106.9072
Kabalo,CD,77.86,77.86,34,0,4.25,-6.05,26.9167
Kagoro,NG,73.6,73.6,97,84,1.45,9.6,8.3833
Lakatoro,VU,80.15,80.15,71,8,5.35,-16.0999,167.4164
Arrondissement d'Ajaccio,FR,66.92,71.65,83,0,3.44,42.0,8.9167
Savannakhet,LA,74.8,74.8,95,100,10.42,16.566,104.751
Taltal,CL,59.14,59.14,72,23,5.06,-25.4,-70.4833
Dandong,CN,76.17,76.17,87,100,3.15,40.1292,124.3947
Honningsvåg,NO,44.04,44.04,90,100,27.25,70.9821,25.9704
Hervey Bay,AU,48.02,48.31,72,8,3.0,-25.2986,152.8535
Balotra,IN,83.55,83.55,79,17,18.37,25.8333,72.2333
Dhidhdhoo,MV,82.9,82.9,76,100,18.99,6.8833,73.1
Faya,SA,61.32,62.71,77,81,10.36,18.3851,42.4509
Aquin,HT,83.64,83.64,71,92,6.17,18.2833,-73.4
Esperance,AU,49.84,49.84,67,100,19.08,-33.8667,121.9
Londoko,RU,73.83,73.83,88,52,2.33,49.0333,131.9833
Tornio,FI,57.22,57.22,68,100,18.45,65.8481,24.1466
Neiafu,TO,79.48,79.48,73,75,9.22,-18.65,-173.9833
Pisco,PE,64.45,64.45,77,20,8.05,-13.7,-76.2167
Thompson,CA,75.36,75.36,50,90,4.61,55.7435,-97.8558
Vestmanna,FO,50.92,50.92,100,40,18.41,62.1564,-7.1664
Yur’yevets,RU,57.9,57.9,81,93,8.1,57.3201,43.1041
Tautira,PF,82.42,82.42,77,46,14.79,-17.7333,-149.15
Lékoni,GA,83.19,83.19,37,81,4.41,-1.5843,14.2591
Şebinkarahisar,TR,63.34,63.34,82,61,3.78,40.2883,38.4236
Kuruman,ZA,34.0,34.0,34,0,10.54,-27.4524,23.4325
Tra Vinh,VN,76.6,76.6,91,99,6.13,9.9347,106.3453
Ngunguru,NZ,60.17,60.17,82,97,11.43,-35.6167,174.5
Shakawe,BW,54.5,54.5,31,0,5.73,-18.3667,21.85
Mozarlândia,BR,81.28,81.28,25,0,4.5,-14.7447,-50.5706
Rangāpāra,IN,79.32,79.32,90,93,3.11,26.8167,92.65
Pimentel,PE,71.89,71.89,68,0,16.11,-6.8367,-79.9342
Jieshi,CN,80.94,80.94,82,7,3.04,22.8134,115.8257
Thaba-Tseka,LS,25.61,25.61,38,0,11.07,-29.522,28.6084
Coquimbo,CL,51.53,51.53,87,20,5.75,-29.9533,-71.3436
Mar del Plata,AR,53.37,54.09,43,100,11.99,-38.0023,-57.5575
Mikuni,JP,78.71,78.71,79,55,2.86,36.2171,136.1519
High Rock,BS,84.22,84.22,74,78,5.93,26.6208,-78.2833
Aloleng,PH,79.99,79.99,87,100,15.32,16.1307,119.7824
Concordia,AR,54.79,54.79,73,0,5.99,-31.393,-58.0209
Tahe,CN,71.92,71.92,83,87,1.9,52.3333,124.7333
Pangnirtung,CA,43.63,43.63,76,70,4.25,66.1451,-65.7125
Padang,ID,73.45,73.45,80,74,4.29,-0.9492,100.3543
Banda Aceh,ID,79.38,79.38,76,93,14.43,5.5577,95.3222
High Level,CA,71.71,71.71,64,75,5.75,58.5169,-117.136
Poum,NC,72.19,72.19,61,16,6.73,-20.2333,164.0167
Krasnosel'kup,RU,60.58,60.58,63,80,15.95,65.7,82.4667
Mount Gambier,AU,42.26,42.26,79,100,7.87,-37.8333,140.7667
Kirkenes,NO,49.15,49.15,66,75,9.22,69.7271,30.0458
Itoman,JP,80.62,80.98,94,75,26.46,26.1247,127.6694
Camacha,PT,67.42,67.42,78,40,10.36,33.0833,-16.3333
Kipini,KE,77.29,77.29,80,27,17.09,-2.5257,40.5262
Tuatapere,NZ,43.83,43.83,86,100,6.04,-46.1333,167.6833
Vidim,RU,57.31,57.31,95,85,4.32,56.4088,103.1106
Xining,CN,58.53,58.53,76,89,2.3,36.6167,101.7667
Melilla,ES,73.78,73.78,88,75,4.61,35.2937,-2.9383
Quatre Cocos,MU,66.09,68.11,72,78,18.01,-20.2078,57.7625
Port Hedland,AU,62.65,62.65,100,40,4.61,-20.3167,118.5667
Sistranda,NO,55.36,55.36,88,96,28.68,63.7256,8.834
Mizdah,LY,72.36,72.36,59,0,5.55,31.4451,12.9801
Frontera,MX,84.33,84.33,62,83,5.03,26.9333,-101.45
Druskininkai,LT,56.62,56.62,79,8,5.08,54.0167,23.9667
Aleksandrov Gay,RU,79.16,79.16,42,33,10.92,50.147,48.5704
Zhuanghe,CN,75.85,75.85,86,100,3.02,39.7008,122.9911
Norman Wells,CA,82.44,82.44,39,75,8.05,65.282,-126.8329
Örnsköldsvik,SE,59.95,59.95,55,75,12.66,63.2909,18.7153
Marystown,CA,59.34,59.34,91,100,11.88,47.1666,-55.1483
Krasnoyarskiy,RU,68.36,68.36,80,89,7.25,51.965,59.8967
Muros,ES,64.49,65.68,85,26,6.67,42.7762,-9.0603
Dwārka,IN,82.6,82.6,83,100,27.07,22.2394,68.9678
Wanxian,CN,76.77,76.77,87,16,3.33,30.8039,108.3897
Kimbe,PG,78.46,78.46,87,63,4.09,-5.5502,150.1429
Abasolo,MX,80.69,80.69,37,98,3.51,20.45,-101.5167
Bowen,AU,60.35,60.35,60,9,10.36,-20.0167,148.2333
Morki,RU,63.88,63.88,61,100,1.07,56.4303,48.9947
Edendale,ZA,45.63,45.63,90,4,4.27,-29.6528,30.3147
Villa Unión,MX,90.91,92.01,70,97,9.71,23.2,-106.2333
Jinchang,CN,75.43,75.43,43,72,2.13,38.4953,102.1739
Dali,CN,62.67,62.67,91,100,0.76,25.7,100.1833
Artyom,AZ,82.54,82.54,51,46,1.92,40.4723,50.333
Hudson Bay,CA,88.68,88.68,37,29,8.28,52.85,-102.3842
Killarney,IE,65.32,65.32,86,100,5.06,52.05,-9.5167
Santo Domingo,DO,86.38,87.04,72,40,3.0,18.5001,-69.9886
Kupang,ID,72.18,72.18,88,20,6.91,-10.1667,123.5833
Ampanihy,MG,73.81,73.81,53,77,5.55,-24.7,44.75
Avilés,ES,66.49,67.93,91,75,1.99,43.5547,-5.9248
Sørland,NO,50.07,50.07,92,100,23.17,67.667,12.6934
Gamba,GA,71.2,71.2,88,63,5.75,-2.65,10.0
Kyren,RU,59.0,59.0,87,0,1.61,51.6828,102.1408
Weligama,LK,78.85,78.85,87,100,15.39,5.9667,80.4167
Dunmore Town,BS,83.41,83.41,75,100,8.03,25.5,-76.65
Nantucket,US,76.69,78.96,84,75,6.91,41.2835,-70.0995
Beni Suef,EG,84.6,84.6,45,0,17.0,29.0731,31.0979
Ambon City,ID,75.34,75.34,94,40,5.75,-3.6954,128.1814
Derzhavīnsk,KZ,69.46,69.46,48,1,8.3,51.1,66.3167
Lata,PT,60.21,64.04,97,12,3.67,40.1629,-8.3327
Iranshahr,IR,91.83,91.83,15,6,1.99,27.2025,60.6848
Verkhoyansk,RU,59.86,59.86,57,99,6.93,67.5447,133.385
Doha,QA,97.83,98.58,51,0,12.66,25.2867,51.5333
Domodossola,IT,72.59,75.61,89,91,5.7,46.1165,8.2931
Outjo,NA,54.54,54.54,26,0,5.35,-20.1167,16.15
Saldanha,ZA,46.45,46.45,60,71,14.94,-33.0117,17.9442
Nagua,DO,82.9,89.46,83,20,17.27,19.3832,-69.8474
Lüderitz,NA,53.91,53.91,50,0,20.09,-26.6481,15.1594
Ambunti,PG,75.52,75.52,97,93,0.6,-4.2365,142.8448
Maun,BW,57.16,57.16,35,0,6.91,-19.9833,23.4167
Pedernales,DO,87.53,87.53,57,100,3.53,18.0384,-71.744
Kokopo,PG,79.23,79.23,82,46,6.64,-4.352,152.2633
Isiro,CD,64.94,64.94,94,99,2.28,2.7739,27.616
